Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving
W55_M_1_1	8.77193	0.853376	127421.0	0.483813	91.1592505854801
W55_M_1_2	5.9330099999999995	0.859659	82492.0	0.485864	91.91176470588235
W55_M_1_3	3.29068	0.863595	45185.0	0.504491	96.30281690140845
W55_M_1_4	6.17929	0.885151	101302.0	0.494923	96.8
W55_M_2_1	17.188	0.855701	610480.0	0.48649	92.54140206699041
W55_M_2_2	16.3614	0.853959	573477.0	0.488098	92.81357730045082
W55_M_2_3	8.523909999999999	0.895671	342923.0	0.493696	96.48157012924844
W55_M_2_4	8.42764	0.894606	386510.0	0.489262	97.18249733191035
W55_M_3_1	12.5086	0.863719	241608.0	0.465838	92.90035020694046
W55_M_3_2	13.0655	0.863412	230708.0	0.463666	93.45417925478348
W55_M_3_3	7.18563	0.880002	157450.0	0.471518	96.31713554987212
W55_M_3_4	6.8402199999999995	0.90049	174686.0	0.470184	97.14557564224549
W55_V_1_1	10.7394	0.849288	282739.0	0.491092	92.70443613041155
W55_V_1_2	8.1189	0.865119	183964.0	0.492706	93.1179185900126
W55_V_1_3	4.5150500000000005	0.887772	151786.0	0.498123	95.28851244044468
W55_V_1_4	5.8583799999999995	0.892601	175539.0	0.496263	97.2300469483568
W55_V_2_1	15.1485	0.85232	439497.0	0.492728	91.97192742211571
W55_V_2_2	10.7164	0.864911	279149.0	0.492668	93.36295473479589
W55_V_2_3	12.4091	0.902621	359087.0	0.492681	96.75399953628565
W55_V_2_4	7.27522	0.881562	128828.0	0.49031	96.58385093167702
W55_V_3_1	10.960799999999999	0.863964	122949.0	0.470901	94.22222222222221
W55_V_3_2	9.234829999999999	0.851322	126956.0	0.469865	93.34532374100719
W55_V_3_3	10.3957	0.868322	110500.0	0.469727	94.018296973962
W55_V_3_4	6.526809999999999	0.887462	74837.0	0.488598	96.41693811074919
